period_start_date,period_end_date,not_sequenced,sequenced,cases,pct_sequenced,incomplete
01/03/2021,01/30/2021,127532,2565,130097,2,
01/31/2021,02/27/2021,82936,4365,87301,5,
02/28/2021,03/27/2021,76641,5774,82415,7,
03/28/2021,04/24/2021,52849,6788,59637,11,
04/25/2021,05/22/2021,15776,2384,18160,13,
05/23/2021,06/19/2021,4668,674,5342,13,
06/20/2021,07/17/2021,6545,1110,7655,15,
07/18/2021,08/14/2021,28433,5094,33527,15,
08/15/2021,09/11/2021,34426,6049,40475,15,
09/12/2021,10/09/2021,28368,5063,33431,15,
10/10/2021,11/06/2021,17774,3027,20801,15,
11/07/2021,12/04/2021,29627,5215,34842,15,
12/05/2021,01/01/2022,494331,16296,510627,3,
01/02/2022,01/29/2022,424810,19626,444436,4,
01/30/2022,02/26/2022,27788,3193,30981,10,
02/27/2022,03/26/2022,17083,3055,20138,15,
03/27/2022,04/23/2022,40634,7828,48462,16,
04/24/2022,05/21/2022,73593,14578,88171,17,
05/22/2022,06/18/2022,64723,11937,76660,16,
06/19/2022,07/16/2022,76597,13632,90229,15,
07/17/2022,08/13/2022,70737,10454,81191,13,
08/14/2022,09/10/2022,40693,6497,47190,14,
09/11/2022,10/08/2022,38979,5786,44765,13,
10/09/2022,11/05/2022,43902,5389,49291,11,
11/06/2022,12/03/2022,57333,7103,64436,11,
12/04/2022,12/31/2022,70373,6587,76960,9,
01/01/2023,01/28/2023,50768,2619,53387,5,
01/29/2023,02/25/2023,22989,1506,24495,6,
02/26/2023,03/25/2023,10081,1242,11323,11,
03/26/2023,04/22/2023,6261,823,7084,12,
04/23/2023,05/20/2023,4867,715,5582,13,
05/21/2023,06/17/2023,4770,608,5378,11,
06/18/2023,07/15/2023,4658,534,5192,10,
07/16/2023,08/12/2023,10635,1264,11899,11,
08/13/2023,09/09/2023,18710,2689,21399,13,
09/10/2023,10/07/2023,21231,2139,23370,9,
10/08/2023,11/04/2023,10111,1131,11242,10,
11/05/2023,12/02/2023,10547,1162,11709,10,
12/03/2023,12/30/2023,27389,2718,30107,9,
12/31/2023,01/27/2024,31886,2574,34460,7,
01/28/2024,02/24/2024,12805,1516,14321,11,
02/25/2024,03/23/2024,5249,587,5836,10,
03/24/2024,04/20/2024,3298,425,3723,11,
04/21/2024,05/18/2024,3764,490,4254,12,
05/19/2024,06/15/2024,7266,711,7977,9,
06/16/2024,07/13/2024,11623,1575,13198,12,
07/14/2024,08/10/2024,14165,1780,15945,11,
08/11/2024,09/07/2024,9808,1108,10916,10,
09/08/2024,10/05/2024,6493,857,7350,12,
10/06/2024,11/02/2024,2780,433,3213,13,
11/03/2024,11/30/2024,2297,242,2539,10,
12/01/2024,12/28/2024,3919,283,4202,7,
12/29/2024,01/25/2025,6393,539,6932,8,
01/26/2025,02/22/2025,7470,796,8266,10,
02/23/2025,03/22/2025,8352,912,9264,10,
03/23/2025,04/19/2025,7739,788,8527,9,
04/20/2025,05/17/2025,4137,423,4560,9,
05/18/2025,06/14/2025,3555,361,3916,9,
